Date,Details,Amount,Currency,Debit/Credit,Status
05 Jan 2025,SALARY CREDIT,"22,500.00",AED,Credit,SETTLED
10 Jan 2025,DEWA WATER & ELECTRICITY,850.00,AED,Debit,SETTLED
15 Jan 2025,AMAZON AE,320.50,AED,Debit,SETTLED
20 Jan 2025,LULU HYPERMARKET,450.30,AED,Debit,SETTLED
25 Jan 2025,UBER RIDES,78.45,AED,Debit,SETTLED
30 Jan 2025,Card Payment Received,"5,000.00",AED,Credit,SETTLED
05 Feb 2025,SALARY CREDIT,"22,500.00",AED,Credit,SETTLED
12 Feb 2025,ETISALAT MOBILE,120.00,AED,Debit,SETTLED
18 Feb 2025,NOON.COM,210.75,AED,Debit,SETTLED
22 Feb 2025,EMIRATES NBD LOAN,"3,200.00",AED,Debit,SETTLED
28 Feb 2025,Card Payment Received,"4,800.00",AED,Credit,SETTLED
05 Mar 2025,SALARY CREDIT,"23,000.00",AED,Credit,SETTLED
08 Mar 2025,DINNER AT ZUMA,450.00,AED,Debit,SETTLED
15 Mar 2025,ADNOC PETROL,180.00,AED,Debit,SETTLED
20 Mar 2025,DUBAI MALL SHOPPING,"1,250.00",AED,Debit,SETTLED
25 Mar 2025,NETFLIX SUBSCRIPTION,45.99,AED,Debit,SETTLED
30 Mar 2025,Card Payment Received,"6,200.00",AED,Credit,SETTLED
05 Apr 2025,SALARY CREDIT,"23,000.00",AED,Credit,SETTLED
10 Apr 2025,RENT PAYMENT,"6,500.00",AED,Debit,SETTLED
15 Apr 2025,TALABAT FOOD ORDER,65.30,AED,Debit,SETTLED
20 Apr 2025,EMIRATES INSURANCE,350.00,AED,Debit,SETTLED
25 Apr 2025,CARREFOUR GROCERIES,320.40,AED,Debit,SETTLED
30 Apr 2025,Card Payment Received,"5,500.00",AED,Credit,SETTLED
05 May 2025,SALARY CREDIT,"23,500.00",AED,Credit,SETTLED
10 May 2025,DUBAI FITNESS MEMBERSHIP,300.00,AED,Debit,SETTLED
15 May 2025,APPLE STORE UAE,"4,200.00",AED,Debit,SETTLED
20 May 2025,EMIRATES AIRLINE TICKETS,"2,800.00",AED,Debit,SETTLED
25 May 2025,STARBUCKS COFFEE,45.00,AED,Debit,SETTLED
30 May 2025,Card Payment Received,"7,000.00",AED,Credit,SETTLED
05 Jun 2025,SALARY CREDIT,"24,000.00",AED,Credit,SETTLED
10 Jun 2025,DEWA BILL,920.00,AED,Debit,SETTLED
15 Jun 2025,AMAZON PRIME,19.99,AED,Debit,SETTLED
20 Jun 2025,IKEA FURNITURE,"1,800.00",AED,Debit,SETTLED
25 Jun 2025,DUBAI PARK TICKETS,250.00,AED,Debit,SETTLED
30 Jun 2025,Card Payment Received,"8,200.00",AED,Credit,SETTLED
05 Jul 2025,SALARY CREDIT,"24,000.00",AED,Credit,SETTLED
10 Jul 2025,ETISALAT INTERNET,350.00,AED,Debit,SETTLED
15 Jul 2025,LULU ELECTRONICS,"1,200.00",AED,Debit,SETTLED
20 Jul 2025,ADNOC PETROL,190.00,AED,Debit,SETTLED
25 Jul 2025,THEATRE TICKETS,180.00,AED,Debit,SETTLED
30 Jul 2025,Card Payment Received,"6,500.00",AED,Credit,SETTLED
05 Aug 2025,SALARY CREDIT,"24,500.00",AED,Credit,SETTLED
10 Aug 2025,RENT PAYMENT,"6,500.00",AED,Debit,SETTLED
15 Aug 2025,ZOMATO FOOD DELIVERY,85.00,AED,Debit,SETTLED
20 Aug 2025,EMIRATES NBD FEE,52.50,AED,Debit,SETTLED
25 Aug 2025,DUBALI MALL,"1,050.00",AED,Debit,SETTLED
30 Aug 2025,Card Payment Received,"7,800.00",AED,Credit,SETTLED
05 Sep 2025,SALARY CREDIT,"25,000.00",AED,Credit,SETTLED
10 Sep 2025,DUBAI TRAFFIC FINE,500.00,AED,Debit,SETTLED
15 Sep 2025,NOON ELECTRONICS,"2,300.00",AED,Debit,SETTLED
20 Sep 2025,GYM MEMBERSHIP,250.00,AED,Debit,SETTLED
25 Sep 2025,UBER RIDES,120.00,AED,Debit,SETTLED
30 Sep 2025,Card Payment Received,"9,000.00",AED,Credit,SETTLED
05 Oct 2025,SALARY CREDIT,"25,000.00",AED,Credit,SETTLED
10 Oct 2025,DEWA BILL,950.00,AED,Debit,SETTLED
15 Oct 2025,AMAZON AE,420.00,AED,Debit,SETTLED
20 Oct 2025,DUBAI FESTIVAL TICKETS,350.00,AED,Debit,SETTLED
25 Oct 2025,LULU GROCERIES,380.00,AED,Debit,SETTLED
30 Oct 2025,Card Payment Received,"8,500.00",AED,Credit,SETTLED
05 Nov 2025,SALARY CREDIT,"25,500.00",AED,Credit,SETTLED
10 Nov 2025,ETISALAT BILL,120.00,AED,Debit,SETTLED
15 Nov 2025,EMIRATES INSURANCE,400.00,AED,Debit,SETTLED
20 Nov 2025,APPLE MUSIC,24.99,AED,Debit,SETTLED
25 Nov 2025,ADNOC PETROL,210.00,AED,Debit,SETTLED
30 Nov 2025,Card Payment Received,"10,000.00",AED,Credit,SETTLED
05 Dec 2025,SALARY CREDIT,"26,000.00",AED,Credit,SETTLED
10 Dec 2025,RENT PAYMENT,"6,500.00",AED,Debit,SETTLED
15 Dec 2025,CHRISTMAS SHOPPING,"3,500.00",AED,Debit,SETTLED
20 Dec 2025,DUBAI RESTAURANT,600.00,AED,Debit,SETTLED
25 Dec 2025,AIRPORT DUTY FREE,850.00,AED,Debit,SETTLED
30 Dec 2025,Card Payment Received,"12,000.00",AED,Credit,SETTLED
